milliseconds;ax1;ay1;az1;gx1;gy1;gz1;ax2;ay2;az2;gx2;gy2;gz2;ax3;ay3;az3;gx3;gy3;gz3;ax4;ay4;az4;gx4;gy4;gz4
83007;-2582;613;-320;-2168;-261;528;-4419;98;-889;-505;-8120;1398;2974;-823;2440;-364;-51;-260;3366;34;467;-322;-1456;-128
83019;-1301;286;-442;-2362;-768;315;-2849;-602;-1430;-1021;-7967;1176;3034;-779;2300;-531;-78;-267;4378;-6;747;-534;-1268;349
83031;-78;-58;-365;-2554;-1411;93;-2547;-1006;-2116;-803;-7380;857;3102;-694;2259;-692;20;-296;4763;-289;687;-590;-401;771
83043;396;-334;-377;-2860;-1866;-507;-1829;595;-2832;-1156;-7377;613;3069;-665;2225;-842;-3;-353;4506;-753;417;-757;285;1091
83055;1003;-853;-852;-3236;-2302;-831;-922;617;-2257;-1427;-7236;307;3242;-621;2300;-907;334;-399;3886;-1098;506;-563;178;1249
83067;2740;-851;-784;-2832;-2608;-346;776;381;-2461;-1673;-6394;-76;3313;-604;2494;-971;304;-491;3891;-1211;567;-283;-467;1370
83079;3240;-774;-1202;-2910;-2757;-349;1614;540;-2202;-2111;-5384;79;3325;-656;2624;-1057;277;-541;4598;-843;491;32;-794;866
83091;3398;-509;-1495;-2781;-2346;-467;746;1158;-2229;-2278;-4354;121;3271;-796;2698;-1116;264;-572;4836;-578;389;-45;-567;674
83103;3787;-1023;-1444;-2683;-1892;-488;2089;-51;-2423;-1726;-3213;196;3204;-947;2649;-1060;206;-537;4628;-115;105;-195;-206;472
83115;5859;-274;-954;-2252;-1480;-965;2673;-320;-2473;-1116;-2265;416;3072;-1058;2609;-936;120;-422;4267;-59;0;-225;98;212
83127;4357;-806;-1332;-1956;-818;-542;2695;-493;-2467;-403;-1451;556;2918;-1085;2555;-862;-24;-265;3604;-114;75;-213;380;-124
83139;4245;-744;-1347;-1426;-234;-648;2746;-466;-2481;31;-645;743;2854;-950;2506;-822;-202;-145;3147;-179;303;-359;128;-362
83151;4075;-560;-1333;-605;492;-670;2827;-327;-2455;214;299;780;2879;-905;2499;-823;-318;-63;3867;-255;462;-393;632;-503
83163;4015;-440;-1122;105;1072;-647;2743;-194;-2403;258;1372;652;2909;-1027;2478;-745;-389;30;4234;-108;230;-374;74;-619
83175;4009;-405;-993;713;1645;-615;2522;-355;-2479;248;2435;436;2943;-1021;2497;-626;-406;146;4428;-61;-34;-350;498;-559
83187;3742;75;-1014;1066;2024;-506;2111;-593;-2466;360;3332;165;2988;-981;2444;-541;-385;237;4210;-163;191;-392;857;-502
83199;3565;601;-1202;1307;2149;-347;1539;-745;-2580;560;4084;-3;2923;-1005;2358;-449;-372;301;4228;-307;284;-479;937;-427
83211;3121;666;-1274;1606;2283;-266;850;-736;-2371;642;4908;-64;2891;-1078;2237;-354;-371;312;4344;-487;196;-432;1128;-345
83223;2701;447;-858;1924;2311;-191;2;-431;-2448;686;5647;-22;2944;-1215;2284;-239;-313;287;4359;-721;344;-222;1371;-304
83235;2076;159;-485;2294;2228;-116;-754;-362;-2392;794;6369;108;3007;-1204;2294;-134;-259;279;4326;-783;422;-93;1733;-382
83247;1534;295;-427;2602;2065;-75;-1385;-169;-2434;784;6868;299;3147;-1361;2310;14;-189;284;4215;-826;629;-12;1942;-480
83259;1200;363;-712;2906;1894;83;-1917;-162;-2653;603;7883;509;3172;-1470;2339;175;-179;324;3987;-851;759;-56;1916;-490
83271;100;676;-1174;3001;1421;104;-2613;-254;-2509;515;8049;590;3192;-1560;2329;330;-180;353;3899;-807;751;-43;1556;-517
83283;-769;1020;-1335;2980;693;39;-3342;-152;-2815;421;8236;477;3251;-1582;2338;491;-261;400;4100;-726;801;60;1172;-632
83295;-1626;735;-1186;2876;-339;-71;-7435;26;-1762;-938;6891;-130;3603;-1694;2407;915;-345;485;4761;-253;476;347;1110;-630
83324;-4521;1894;-514;293;-2336;-493;-8911;595;-3524;-2076;8029;441;3550;-1722;2313;1070;-416;482;4540;-531;695;287;1170;-285
83336;-5359;1556;-257;-1448;-3076;-494;-9240;302;-3306;-2585;7764;746;3597;-1658;2335;1121;-385;493;4405;-255;127;193;1353;7
83348;-5895;595;260;-2337;-4018;-555;-8837;340;-3455;-2843;8338;984;3568;-1634;2425;1174;-381;473;4051;-753;839;523;1111;14
83360;-6367;-70;550;-2276;-5154;-737;-9222;514;-3807;-2817;9033;935;3488;-1535;2351;1196;-442;470;3544;-741;805;530;784;89
83372;-7932;-117;595;-1280;-6324;-905;-9013;-264;-4526;-3035;9836;982;3451;-1454;2427;1162;-457;463;3387;-534;777;383;92;132
83384;-9852;-193;666;33;-7418;-1049;-9042;-1241;-4859;-2414;11091;981;3126;-1437;2444;1135;-482;422;3435;-355;761;100;-392;57
83396;-13543;8726;-11924;2938;-7343;90;-12772;-3479;73;-1978;9708;148;2839;-1392;2536;1225;-582;405;3576;-367;1452;-113;-746;-122
83408;-22892;11888;-7770;-2015;-7826;971;-17134;-4120;8133;-4533;6034;-777;3345;-1159;2955;1377;-347;409;3649;-464;2656;-236;-879;-91
