-0.37;0.00;-0.18;-0.10;-0.05;-0.98;0.00;-93.66;-89.39;-0.07;-1.13;-0.24;
-0.67;-0.61;-0.06;-0.09;-0.05;-1.00;-1.71;21.22;52.01;-0.07;-0.85;-0.57;
-0.24;0.37;-0.12;-0.10;-0.05;-0.99;48.17;126.22;76.77;0.19;-0.44;-1.37;
-0.30;-0.43;0.24;-0.10;-0.04;-1.00;-15.73;-183.11;-181.40;-0.08;-1.24;-0.12;
-0.43;0.43;0.00;-0.10;-0.05;-1.00;6.83;228.54;211.83;-0.03;-1.05;-0.27;
-0.24;-0.06;0.49;-0.09;-0.04;-1.00;-13.35;-138.17;-147.13;-0.03;-0.84;-0.49;
-0.18;-0.49;-0.24;-0.10;-0.04;-0.99;43.78;222.01;174.15;0.33;0.05;-2.00;
0.06;-0.67;0.12;-0.09;-0.04;-0.99;16.71;-152.32;-128.11;-0.02;-1.18;-0.30;
-0.61;-0.43;0.30;-0.09;-0.04;-0.99;-9.88;-19.33;-5.00;0.27;0.17;-1.77;
0.18;-0.30;0.43;-0.09;-0.05;-1.00;2.62;44.94;-125.00;0.36;-0.22;-0.26;
13.66;-12.74;21.59;-0.28;-0.15;-0.92;-66.59;77.68;59.15;-0.02;0.08;0.22;
-1.95;-0.30;0.12;-0.10;-0.05;-0.99;0.12;0.12;3.17;0.16;0.02;-1.00;
1.46;0.18;-0.30;-0.11;-0.06;-0.98;0.55;0.55;0.49;0.14;0.02;-0.99;
131.59;-107.13;-63.78;-0.39;-0.53;-0.58;3.84;19.63;16.95;0.36;0.03;-0.97;
43.05;34.51;-21.65;-0.26;-1.14;-0.83;-13.60;-7.50;4.09;0.31;-0.01;-0.97;
-325.00;-344.63;-347.68;-0.17;0.30;-1.16;17.56;9.94;5.98;0.23;-0.00;-0.92;
72.38;111.65;64.57;-0.49;-0.56;-0.69;-3.96;-18.11;8.11;0.27;0.02;-0.95;
145.85;138.84;88.72;-0.54;-0.59;-0.87;-5.37;11.04;-2.74;0.27;-0.01;-0.93;
