0.30;-0.06;0.06;0.17;-0.10;-0.98;0.37;-0.18;-0.98;0.04;-0.72;0.71;0.67;-0.85;-0.06;0.16;0.17;0.96;0.91;-0.43;-0.06;0.08;-0.06;1.04;-0.06;0.43;1.46;0.04;0.62;0.77;0.30;0.00;-0.24;-0.18;0.04;-0.98;
0.73;0.00;0.49;0.17;-0.11;-0.98;0.18;-0.55;-1.22;0.03;-0.72;0.70;0.37;-0.37;0.24;0.16;0.17;0.97;0.30;-0.18;0.37;0.08;-0.06;1.03;-0.18;0.73;1.95;0.03;0.61;0.77;0.18;0.24;-0.73;-0.18;0.04;-0.98;
0.73;0.06;-0.12;0.17;-0.11;-0.98;-0.37;-0.18;-1.10;0.04;-0.73;0.71;0.06;-0.73;-0.24;0.16;0.17;0.97;-0.30;-0.49;0.30;0.08;-0.07;1.04;0.06;0.98;1.16;0.04;0.61;0.76;0.06;-0.12;0.30;-0.18;0.03;-0.98;
0.12;0.30;0.18;0.17;-0.11;-0.99;0.24;-0.49;-1.40;0.03;-0.73;0.70;0.73;-0.06;0.12;0.16;0.17;0.97;-0.06;-0.30;0.24;0.09;-0.07;1.05;-0.24;0.43;1.22;0.03;0.62;0.78;0.79;-0.06;0.43;-0.18;0.04;-0.98;
0.37;0.49;0.43;0.17;-0.11;-0.98;0.37;-0.30;-1.34;0.03;-0.72;0.70;0.24;-0.91;0.30;0.16;0.16;0.97;0.30;0.00;0.06;0.08;-0.06;1.04;-0.91;0.30;1.65;0.03;0.62;0.77;0.12;-0.12;-0.12;-0.18;0.05;-0.98;
0.37;0.73;0.12;0.18;-0.11;-0.98;0.24;-0.18;-1.28;0.04;-0.72;0.70;0.30;-0.24;0.43;0.16;0.16;0.96;0.00;-0.43;0.55;0.08;-0.06;1.04;-0.18;0.67;1.71;0.03;0.62;0.77;0.12;0.18;0.49;-0.17;0.04;-0.98;
0.61;0.43;0.49;0.17;-0.10;-0.98;0.30;-0.61;-0.85;0.03;-0.73;0.70;0.12;-1.04;-0.30;0.16;0.17;0.97;0.49;-0.43;0.24;0.08;-0.07;1.04;-0.61;1.16;1.40;0.03;0.62;0.76;0.37;0.18;0.55;-0.18;0.04;-0.99;
0.06;0.43;0.18;0.18;-0.11;-0.98;0.00;-0.37;-0.67;0.03;-0.73;0.70;0.37;-0.30;0.12;0.15;0.17;0.97;0.37;-0.18;0.18;0.08;-0.07;1.04;0.06;0.18;1.34;0.03;0.62;0.78;0.18;-0.24;0.00;-0.18;0.04;-0.98;
0.49;0.30;0.18;0.18;-0.10;-0.99;0.37;-0.55;-1.28;0.03;-0.72;0.70;0.18;-0.37;0.24;0.16;0.17;0.96;-0.18;-0.73;0.12;0.08;-0.06;1.03;-0.67;0.67;1.04;0.03;0.62;0.78;0.18;-0.06;-0.24;-0.17;0.05;-0.98;
0.00;0.37;-0.06;0.17;-0.10;-0.98;0.49;-0.79;-1.22;0.04;-0.73;0.70;0.00;-0.43;0.12;0.16;0.17;0.97;0.12;-0.49;0.43;0.08;-0.06;1.04;0.12;0.49;0.98;0.03;0.61;0.79;0.18;-0.18;-0.37;-0.18;0.04;-0.97;
0.49;0.30;0.18;0.17;-0.11;-0.98;0.18;-0.37;-0.55;0.04;-0.73;0.70;0.12;-0.43;-0.30;0.17;0.17;0.97;0.43;-0.49;0.12;0.08;-0.07;1.04;0.30;1.22;1.77;0.04;0.61;0.77;-0.18;0.18;-0.24;-0.17;0.04;-0.99;
0.79;0.43;0.37;0.18;-0.10;-0.97;0.06;-0.49;-0.98;0.03;-0.73;0.70;0.30;-0.37;0.18;0.17;0.16;0.97;0.06;0.00;0.43;0.08;-0.07;1.04;-0.37;0.55;1.71;0.04;0.62;0.77;0.18;0.00;0.06;-0.17;0.04;-0.98;
0.24;-0.30;-0.24;0.17;-0.10;-0.98;0.00;-0.24;-0.85;0.04;-0.73;0.70;0.55;-0.24;-0.06;0.16;0.16;0.97;-0.24;-0.43;0.43;0.08;-0.07;1.04;-0.30;0.67;1.52;0.03;0.62;0.77;0.79;-0.06;0.12;-0.17;0.04;-0.98;
