-0.18;-0.37;0.00;-0.46;0.21;-0.87;0.00;0.73;0.24;0.17;-0.33;-0.92;0.24;-0.30;-0.85;0.23;-0.60;0.81;1.65;0.06;-0.43;0.38;0.12;0.92;0.24;-0.49;0.24;0.22;-0.12;1.00;52.62;-10.61;-45.61;0.31;-0.03;1.25;0.06;0.30;-0.12;-0.12;0.14;-0.98;0.49;0.06;-0.30;0.25;0.49;0.85;
-0.18;-0.30;0.00;-0.45;0.21;-0.85;3.11;-3.11;0.06;0.18;-0.34;-0.91;0.30;0.61;-0.73;0.22;-0.61;0.82;-1.04;0.06;0.06;0.37;0.11;0.92;0.12;-0.43;0.30;0.22;-0.11;1.00;25.30;-11.34;-14.33;0.35;0.05;1.02;0.43;-0.24;0.12;-0.11;0.14;-0.98;0.37;-0.06;-0.43;0.25;0.50;0.85;
-1.04;-0.24;-0.61;-0.45;0.21;-0.85;0.55;0.00;0.30;0.18;-0.33;-0.92;0.06;-0.30;-1.10;0.23;-0.60;0.81;-0.06;-0.37;0.24;0.38;0.12;0.93;0.00;-0.37;0.30;0.23;-0.12;1.02;69.45;-46.77;0.73;0.28;0.52;0.96;0.18;0.18;0.24;-0.12;0.14;-0.99;0.18;0.24;-0.61;0.25;0.50;0.85;
-0.37;-0.12;0.24;-0.45;0.20;-0.85;0.79;0.37;0.18;0.18;-0.33;-0.93;-0.06;-0.67;-0.85;0.22;-0.60;0.81;0.49;-0.30;0.43;0.38;0.12;0.92;0.55;-0.24;0.18;0.23;-0.12;1.01;-37.68;75.61;-18.66;0.35;0.06;0.80;0.43;0.00;-0.06;-0.12;0.14;-0.98;0.55;-0.18;0.18;0.25;0.50;0.84;
-0.43;0.61;0.12;-0.45;0.21;-0.86;-0.06;0.12;0.00;0.18;-0.33;-0.93;0.30;-0.49;-1.10;0.23;-0.59;0.80;0.00;0.00;0.12;0.37;0.12;0.93;0.12;-0.30;0.18;0.22;-0.12;1.01;4.33;-2.68;8.96;0.31;-0.02;0.92;0.43;0.06;0.30;-0.12;0.15;-0.98;-0.06;-0.12;-0.43;0.24;0.50;0.86;
-0.37;0.12;0.06;-0.45;0.20;-0.87;0.12;-0.12;0.18;0.18;-0.33;-0.93;0.30;-0.49;-0.85;0.23;-0.60;0.81;1.95;-0.61;0.12;0.36;0.12;0.91;0.43;0.06;0.18;0.23;-0.11;1.01;3.05;1.22;2.07;0.32;-0.01;0.98;0.55;-0.06;0.00;-0.11;0.14;-0.97;0.37;0.00;-0.61;0.25;0.49;0.85;
-0.43;-0.18;0.30;-0.46;0.20;-0.86;0.73;0.12;-0.18;0.17;-0.33;-0.93;-0.12;-0.37;-0.91;0.23;-0.59;0.81;0.49;-0.37;0.18;0.37;0.13;0.92;-0.18;-0.37;0.61;0.23;-0.11;1.01;4.09;-5.98;0.06;0.34;-0.04;1.00;0.18;-0.18;-0.18;-0.11;0.14;-0.98;-0.30;-0.12;-0.12;0.25;0.50;0.85;
-0.43;-0.24;0.37;-0.45;0.20;-0.85;0.37;-0.12;0.00;0.18;-0.33;-0.92;0.00;-0.98;-1.16;0.23;-0.60;0.81;0.49;-0.73;0.30;0.37;0.12;0.93;0.67;-0.55;0.24;0.23;-0.11;1.01;-36.10;11.65;38.23;0.18;-0.30;0.89;0.12;0.00;0.06;-0.11;0.13;-0.98;0.00;-0.24;-0.61;0.25;0.49;0.86;
-0.55;0.24;-0.24;-0.45;0.20;-0.86;0.37;0.30;0.43;0.18;-0.33;-0.93;0.49;-0.61;-1.59;0.23;-0.59;0.80;0.37;-0.85;-0.18;0.37;0.12;0.92;0.49;-0.30;-0.06;0.22;-0.11;1.01;49.76;-24.45;13.11;0.28;0.19;0.83;0.12;0.12;0.06;-0.11;0.14;-0.98;-0.18;-0.12;-0.73;0.25;0.49;0.85;
-0.12;0.18;0.06;-0.45;0.20;-0.86;0.24;0.18;-0.24;0.17;-0.33;-0.93;-0.24;-0.49;-1.28;0.23;-0.59;0.80;0.06;-0.49;0.00;0.37;0.12;0.93;0.61;-0.30;0.18;0.22;-0.12;1.01;-2.93;1.16;3.17;0.31;0.04;0.93;0.24;0.00;0.18;-0.12;0.14;-0.97;0.24;-0.18;-0.24;0.24;0.50;0.85;
-0.18;-0.06;0.12;-0.46;0.21;-0.86;0.37;-0.12;0.18;0.18;-0.33;-0.92;-0.06;-0.55;-1.22;0.23;-0.60;0.81;0.37;-0.55;0.06;0.37;0.12;0.92;0.55;0.37;0.18;0.23;-0.12;1.01;2.50;5.49;1.28;0.32;0.01;0.99;0.37;0.24;-0.24;-0.12;0.14;-0.98;0.12;0.18;-0.98;0.25;0.50;0.85;
